pair,FileName,Subfolder,ImageName,Description,Majority_Label,Confidence
pair_1014,1082_4,3400K,1082_4_3400K.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",1,0.594360938
pair_1014,1082_4,10000K,1082_4_10000K.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",-1,0.594360938
pair_1015,1082_4,4650K,1082_4_gt.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",1,1
pair_1015,1082_4,6000K,1082_4_6000K.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",-1,1
pair_1016,1082_4,4650K,1082_4_gt.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",1,1
pair_1016,1082_4,3800K,1082_4_3800K.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",-1,1
pair_1017,1082_4,4650K,1082_4_gt.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",1,1
pair_1017,1082_4,10000K,1082_4_10000K.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",-1,1
pair_1018,1082_4,4650K,1082_4_gt.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",1,1
pair_1018,1082_4,3400K,1082_4_3400K.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",-1,1
pair_1019,1082_4,4650K,1082_4_gt.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",1,1
pair_1019,1082_4,2800K,1082_4_2800K.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",-1,1
pair_102,1004_2,5000K,1004_2_gt.jpg,"This is an image of an outdoor scene featuring a young girl dressed in fashionable attire sitting beside a bush. She is holding a camera in her hand, seemingly enjoying the process of taking photos or contemplating her subject. It falls under the category of portrait photography.",1,1
pair_102,1004_2,2600K,1004_2_2600K.jpg,"This is an image of an outdoor scene featuring a young girl dressed in fashionable attire sitting beside a bush. She is holding a camera in her hand, seemingly enjoying the process of taking photos or contemplating her subject. It falls under the category of portrait photography.",-1,1
pair_1020,1082_4,4650K,1082_4_gt.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",1,1
pair_1020,1082_4,2400K,1082_4_2400K.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",-1,1
pair_1021,1082_4,4650K,1082_4_gt.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",1,1
pair_1021,1082_4,2000K,1082_4_2000K.jpg,"This is an image taken in a studio, showcasing the theme of movement and vitality. The picture features flowing water and a woman in sportswear, and falls under the category of action photography.",-1,1
pair_1022,1082_9,4000K,1082_9_4000K.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",1,0.522782999
pair_1022,1082_9,6000K,1082_9_6000K.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",-1,0.522782999
pair_1023,1082_9,3400K,1082_9_3400K.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",1,0.594360938
pair_1023,1082_9,10000K,1082_9_10000K.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",-1,0.594360938
pair_1024,1082_9,4750K,1082_9_gt.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",1,1
pair_1024,1082_9,6000K,1082_9_6000K.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",-1,1
pair_1025,1082_9,4750K,1082_9_gt.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",1,1
pair_1025,1082_9,4000K,1082_9_4000K.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",-1,1
pair_1026,1082_9,4750K,1082_9_gt.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",1,1
pair_1026,1082_9,10000K,1082_9_10000K.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",-1,1
pair_1027,1082_9,4750K,1082_9_gt.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",1,1
pair_1027,1082_9,3400K,1082_9_3400K.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",-1,1
pair_1028,1082_9,4750K,1082_9_gt.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",1,1
pair_1028,1082_9,2800K,1082_9_2800K.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",-1,1
pair_1029,1082_9,4750K,1082_9_gt.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",1,1
pair_1029,1082_9,2400K,1082_9_2400K.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",-1,1
pair_103,1004_2,5000K,1004_2_gt.jpg,"This is an image of an outdoor scene featuring a young girl dressed in fashionable attire sitting beside a bush. She is holding a camera in her hand, seemingly enjoying the process of taking photos or contemplating her subject. It falls under the category of portrait photography.",1,1
pair_103,1004_2,2000K,1004_2_2000K.jpg,"This is an image of an outdoor scene featuring a young girl dressed in fashionable attire sitting beside a bush. She is holding a camera in her hand, seemingly enjoying the process of taking photos or contemplating her subject. It falls under the category of portrait photography.",-1,1
pair_1030,1082_9,4750K,1082_9_gt.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",1,1
pair_1030,1082_9,2000K,1082_9_2000K.jpg,"This is an image captured in an indoor studio, with the theme focusing on showcasing the fashion and healthy aesthetics of sportswear. In the picture, the model is dressed in athletic attire, set against a simple background. The scattered water droplets enhance the dynamic effect, classifying it under the genre of portrait photography.",-1,1
pair_1031,1084_10,4200K,1084_10_4200K.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",1,0.522782999
pair_1031,1084_10,10000K,1084_10_10000K.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",-1,0.522782999
pair_1032,1084_10,5450K,1084_10_gt.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",1,1
pair_1032,1084_10,4200K,1084_10_4200K.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",-1,1
pair_1033,1084_10,5450K,1084_10_gt.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",1,1
pair_1033,1084_10,10000K,1084_10_10000K.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",-1,1
pair_1034,1084_10,5450K,1084_10_gt.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",1,1
pair_1034,1084_10,3400K,1084_10_3400K.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",-1,1
pair_1035,1084_10,5450K,1084_10_gt.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",1,1
pair_1035,1084_10,2800K,1084_10_2800K.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",-1,1
pair_1036,1084_10,5450K,1084_10_gt.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",1,1
pair_1036,1084_10,2400K,1084_10_2400K.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",-1,1
pair_1037,1084_10,5450K,1084_10_gt.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",1,1
pair_1037,1084_10,2200K,1084_10_2200K.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",-1,1
pair_1038,1084_10,5450K,1084_10_gt.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",1,1
pair_1038,1084_10,2000K,1084_10_2000K.jpg,"This is an image of a lotus pond, with a theme centered on the fusion of traditional attire and natural beauty. The person in the picture is seated among layers of green lotus leaves, dressed in a red long dress and holding a round fan, exuding a classical charm. It is a portrait photograph.",-1,1
pair_1039,1084_8,4400K,1084_8_4400K.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",1,0.594360938
pair_1039,1084_8,10000K,1084_8_10000K.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",-1,0.594360938
pair_104,1004_4,4200K,1004_4_4200K.jpg,"This is an image of an urban street, set in a city environment with railings and a blue building in the background. The subject is a person dressed in warm winter clothing, holding a camera, exuding an atmosphere of exploration and documentation. The photo belongs to the category of portrait photography.",-1,0.594360938
pair_104,1004_4,6200K,1004_4_6200K.jpg,"This is an image of an urban street, set in a city environment with railings and a blue building in the background. The subject is a person dressed in warm winter clothing, holding a camera, exuding an atmosphere of exploration and documentation. The photo belongs to the category of portrait photography.",1,0.594360938
pair_1040,1084_8,5600K,1084_8_gt.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",1,1
pair_1040,1084_8,4400K,1084_8_4400K.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",-1,1
pair_1041,1084_8,5600K,1084_8_gt.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",1,1
pair_1041,1084_8,10000K,1084_8_10000K.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",-1,1
pair_1042,1084_8,5600K,1084_8_gt.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",1,1
pair_1042,1084_8,3600K,1084_8_3600K.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",-1,1
pair_1043,1084_8,5600K,1084_8_gt.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",1,1
pair_1043,1084_8,3000K,1084_8_3000K.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",-1,1
pair_1044,1084_8,5600K,1084_8_gt.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",1,1
pair_1044,1084_8,2600K,1084_8_2600K.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",-1,1
pair_1045,1084_8,5600K,1084_8_gt.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",1,1
pair_1045,1084_8,2400K,1084_8_2400K.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",-1,1
pair_1046,1084_8,5600K,1084_8_gt.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",1,1
pair_1046,1084_8,2000K,1084_8_2000K.jpg,"This is an image of a lotus-leaf pond environment, with the theme featuring a woman dressed in traditional attire performing a long-sleeve dance amidst a pond filled with lotus leaves. It belongs to the genre of portrait photography.",-1,1
pair_1047,1085_1,4200K,1085_1_4200K.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",1,0.594360938
pair_1047,1085_1,10000K,1085_1_10000K.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",-1,0.594360938
pair_1048,1085_1,5200K,1085_1_gt.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",1,1
pair_1048,1085_1,4200K,1085_1_4200K.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",-1,1
pair_1049,1085_1,5200K,1085_1_gt.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",1,1
pair_1049,1085_1,10000K,1085_1_10000K.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",-1,1
pair_105,1004_4,3600K,1004_4_3600K.jpg,"This is an image of an urban street, set in a city environment with railings and a blue building in the background. The subject is a person dressed in warm winter clothing, holding a camera, exuding an atmosphere of exploration and documentation. The photo belongs to the category of portrait photography.",-1,0.594360938
pair_105,1004_4,7400K,1004_4_7400K.jpg,"This is an image of an urban street, set in a city environment with railings and a blue building in the background. The subject is a person dressed in warm winter clothing, holding a camera, exuding an atmosphere of exploration and documentation. The photo belongs to the category of portrait photography.",1,0.594360938
pair_1050,1085_1,5200K,1085_1_gt.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",1,1
pair_1050,1085_1,3600K,1085_1_3600K.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",-1,1
pair_1051,1085_1,5200K,1085_1_gt.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",1,1
pair_1051,1085_1,3000K,1085_1_3000K.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",-1,1
pair_1052,1085_1,5200K,1085_1_gt.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",1,1
pair_1052,1085_1,2600K,1085_1_2600K.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",-1,1
pair_1053,1085_1,5200K,1085_1_gt.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",1,1
pair_1053,1085_1,2400K,1085_1_2400K.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",-1,1
pair_1054,1085_1,5200K,1085_1_gt.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",1,1
pair_1054,1085_1,2000K,1085_1_2000K.jpg,"This is an image of a lakeside natural environment, featuring the theme of classical beauty and traditional attire, belonging to the genre of portrait photography.",-1,1
pair_1055,1085_2,4200K,1085_2_4200K.jpg,"This is an image of a traditional Chinese courtyard, with a focus on showcasing an oriental classic atmosphere. It falls under the category of portrait photography.",0,0.5
pair_1055,1085_2,6800K,1085_2_6800K.jpg,"This is an image of a traditional Chinese courtyard, with a focus on showcasing an oriental classic atmosphere. It falls under the category of portrait photography.",0,0.5
