pair,FileName,Subfolder,ImageName,deltaE2000,Flag,class,level,score,new_score,normalized_score,Description,Temperature_class,distance,Majority_Label,Confidence
pair_1003,a4380-kme_0739,5800K,a4380-kme_0739_5800K.jpg,7.594712503,,2,58,2,0.9,0.86,"This is an image located next to a flowerbed outside the cathedral in the city center. The theme is the cathedral in the sunlight and blooming white lilies, showcasing the harmony between architecture and nature. It falls under the categories of architectural and landscape photography.",1,1050,0,0.5
pair_1004,a4380-kme_0739,3600K,a4380-kme_0739_3600K.jpg,13.98212521,,1,9,4,0.66,0.51,"This is an image located next to a flowerbed outside the cathedral in the city center. The theme is the cathedral in the sunlight and blooming white lilies, showcasing the harmony between architecture and nature. It falls under the categories of architectural and landscape photography.",-1,1150,1,0.522782999
pair_1004,a4380-kme_0739,10000K,a4380-kme_0739_10000K.jpg,15.25391909,,2,79,5,0.64,0.49,"This is an image located next to a flowerbed outside the cathedral in the city center. The theme is the cathedral in the sunlight and blooming white lilies, showcasing the harmony between architecture and nature. It falls under the categories of architectural and landscape photography.",1,5250,-1,0.522782999
pair_1005,a4381-_DGW9028,4800K,a4381-_DGW9028_4800K.jpg,4.964655372,,1,15,2,0.82,0.74,"This is an image of a city street, focusing on the dynamic of parent-child interaction and crossing. People are walking on the street, with a background of some shops and parked cars. It belongs to street photography.",-1,650,0,0.5
pair_1005,a4381-_DGW9028,7000K,a4381-_DGW9028_7000K.jpg,7.601485037,,2,60,3,0.84,0.77,"This is an image of a city street, focusing on the dynamic of parent-child interaction and crossing. People are walking on the street, with a background of some shops and parked cars. It belongs to street photography.",1,1550,0,0.5
pair_1006,a4381-_DGW9028,4200K,a4381-_DGW9028_4200K.jpg,10.16221005,,1,12,4,0.62,0.46,"This is an image of a city street, focusing on the dynamic of parent-child interaction and crossing. People are walking on the street, with a background of some shops and parked cars. It belongs to street photography.",-1,1250,-1,0.594360938
pair_1006,a4381-_DGW9028,10000K,a4381-_DGW9028_10000K.jpg,13.41127121,,2,75,5,0.72,0.6,"This is an image of a city street, focusing on the dynamic of parent-child interaction and crossing. People are walking on the street, with a background of some shops and parked cars. It belongs to street photography.",1,4550,1,0.594360938
pair_1007,a4387-kme_591,2000K,a4387-kme_591_2000K.jpg,4.96241874,,1,1,2,0.9,0.86,"This is an image of a banquet setting, featuring a long table neatly lined with orange cocktails. Each glass contains a straw, and the glasses are arranged in multiple layers, creating a sense of depth. This is food photography.",-1,100,1,0.728217778
pair_1007,a4387-kme_591,2400K,a4387-kme_591_2400K.jpg,8.830463777,,2,54,3,0.8,0.71,"This is an image of a banquet setting, featuring a long table neatly lined with orange cocktails. Each glass contains a straw, and the glasses are arranged in multiple layers, creating a sense of depth. This is food photography.",1,300,-1,0.728217778
pair_1008,a4396-DSC_0073-2,4200K,a4396-DSC_0073-2_4200K.jpg,6.842107867,,1,12,2,0.88,0.83,"This is an image of urban architecture with a theme showcasing the historical brick buildings in the city. It features wrought iron balconies and window decorations, reflecting an architectural style that combines ancient and modern elements. This belongs to the genre of architectural photography.",-1,550,-1,0.594360938
pair_1008,a4396-DSC_0073-2,5600K,a4396-DSC_0073-2_5600K.jpg,7.282018817,,2,57,3,0.82,0.74,"This is an image of urban architecture with a theme showcasing the historical brick buildings in the city. It features wrought iron balconies and window decorations, reflecting an architectural style that combines ancient and modern elements. This belongs to the genre of architectural photography.",1,850,1,0.594360938
pair_1009,a4396-DSC_0073-2,3600K,a4396-DSC_0073-2_3600K.jpg,14.37536775,,1,9,5,0.5,0.29,"This is an image of urban architecture with a theme showcasing the historical brick buildings in the city. It features wrought iron balconies and window decorations, reflecting an architectural style that combines ancient and modern elements. This belongs to the genre of architectural photography.",-1,1150,-1,1
pair_1009,a4396-DSC_0073-2,6800K,a4396-DSC_0073-2_6800K.jpg,12.79017777,,2,63,4,0.7,0.57,"This is an image of urban architecture with a theme showcasing the historical brick buildings in the city. It features wrought iron balconies and window decorations, reflecting an architectural style that combines ancient and modern elements. This belongs to the genre of architectural photography.",1,2050,1,1
pair_101,a0372-WP_CRW_6207,3400K,a0372-WP_CRW_6207_3400K.jpg,7.232231976,,1,8,3,0.74,0.63,"This is an image of a home interior setting, featuring a little girl celebrating her birthday beside a dining table. On the table, there is a small cake with decorative icing and lit candles. The image falls under lifestyle/portrait photography.",-1,621,0,0.5
pair_101,a0372-WP_CRW_6207,5000K,a0372-WP_CRW_6207_5000K.jpg,6.842031273,,2,57,2,0.92,0.89,"This is an image of a home interior setting, featuring a little girl celebrating her birthday beside a dining table. On the table, there is a small cake with decorative icing and lit candles. The image falls under lifestyle/portrait photography.",1,979,0,0.5
pair_1010,a4396-DSC_0073-2,3000K,a4396-DSC_0073-2_3000K.jpg,19.93237999,,1,6,7,0.4,0.14,"This is an image of urban architecture with a theme showcasing the historical brick buildings in the city. It features wrought iron balconies and window decorations, reflecting an architectural style that combines ancient and modern elements. This belongs to the genre of architectural photography.",-1,1750,-1,1
pair_1010,a4396-DSC_0073-2,10000K,a4396-DSC_0073-2_10000K.jpg,18.29542139,,2,79,6,0.6,0.43,"This is an image of urban architecture with a theme showcasing the historical brick buildings in the city. It features wrought iron balconies and window decorations, reflecting an architectural style that combines ancient and modern elements. This belongs to the genre of architectural photography.",1,5250,1,1
pair_1011,a4399-Duggan_080410_5879,5200K,a4399-Duggan_080410_5879_5200K.jpg,3.883622515,,1,17,2,0.84,0.77,"This is an image of an airport tarmac, featuring a United Airlines Boeing 747 aircraft parked at the gate. Airport staff and ground equipment can be seen around it. This image belongs to the category of transportation photography.",-1,825,-1,0.522782999
pair_1011,a4399-Duggan_080410_5879,7800K,a4399-Duggan_080410_5879_7800K.jpg,5.308742635,,2,61,3,0.86,0.8,"This is an image of an airport tarmac, featuring a United Airlines Boeing 747 aircraft parked at the gate. Airport staff and ground equipment can be seen around it. This image belongs to the category of transportation photography.",1,1775,1,0.522782999
pair_1012,a4399-Duggan_080410_5879,4400K,a4399-Duggan_080410_5879_4400K.jpg,8.362458715,,1,13,4,0.62,0.46,"This is an image of an airport tarmac, featuring a United Airlines Boeing 747 aircraft parked at the gate. Airport staff and ground equipment can be seen around it. This image belongs to the category of transportation photography.",-1,1625,-1,0.594360938
pair_1012,a4399-Duggan_080410_5879,10000K,a4399-Duggan_080410_5879_10000K.jpg,9.459912382,,2,72,5,0.68,0.54,"This is an image of an airport tarmac, featuring a United Airlines Boeing 747 aircraft parked at the gate. Airport staff and ground equipment can be seen around it. This image belongs to the category of transportation photography.",1,3975,1,0.594360938
pair_1013,a4406-DSC_0152,2400K,a4406-DSC_0152_2400K.jpg,6.509213533,,1,3,3,0.78,0.69,"This is an image from a museum exhibition, showcasing an ancient Egyptian mummy coffin and exquisite mural patterns. The coffin is adorned with hieroglyphics and ancient Egyptian designs, and it belongs to the category of historical artifact photography.",-1,161,-1,0.522782999
pair_1013,a4406-DSC_0152,2800K,a4406-DSC_0152_2800K.jpg,6.492215978,,2,54,2,0.86,0.8,"This is an image from a museum exhibition, showcasing an ancient Egyptian mummy coffin and exquisite mural patterns. The coffin is adorned with hieroglyphics and ancient Egyptian designs, and it belongs to the category of historical artifact photography.",1,239,1,0.522782999
pair_1014,a4406-DSC_0152,2200K,a4406-DSC_0152_2200K.jpg,16.4354135,,1,2,5,0.66,0.51,"This is an image from a museum exhibition, showcasing an ancient Egyptian mummy coffin and exquisite mural patterns. The coffin is adorned with hieroglyphics and ancient Egyptian designs, and it belongs to the category of historical artifact photography.",-1,361,0,0.5
pair_1014,a4406-DSC_0152,3200K,a4406-DSC_0152_3200K.jpg,12.57556761,,2,56,4,0.7,0.57,"This is an image from a museum exhibition, showcasing an ancient Egyptian mummy coffin and exquisite mural patterns. The coffin is adorned with hieroglyphics and ancient Egyptian designs, and it belongs to the category of historical artifact photography.",1,639,0,0.5
pair_1015,a4406-DSC_0152,2000K,a4406-DSC_0152_2000K.jpg,26.96758914,,1,1,8,0.42,0.17,"This is an image from a museum exhibition, showcasing an ancient Egyptian mummy coffin and exquisite mural patterns. The coffin is adorned with hieroglyphics and ancient Egyptian designs, and it belongs to the category of historical artifact photography.",-1,561,0,0.5
pair_1015,a4406-DSC_0152,4200K,a4406-DSC_0152_4200K.jpg,18.67874034,,2,61,6,0.46,0.23,"This is an image from a museum exhibition, showcasing an ancient Egyptian mummy coffin and exquisite mural patterns. The coffin is adorned with hieroglyphics and ancient Egyptian designs, and it belongs to the category of historical artifact photography.",1,1639,0,0.5
pair_1016,a4422-DSC_0110,4200K,a4422-DSC_0110_4200K.jpg,5.036271408,,1,12,2,0.9,0.86,"This is an image of the Golden Gate Bridge on a foggy day, featuring the combination of the bridge with the historic buildings below. It showcases a scene where architectural aesthetics intertwine with natural weather conditions, and it falls under the category of architectural landscape photography.",-1,650,1,0.522782999
pair_1016,a4422-DSC_0110,6200K,a4422-DSC_0110_6200K.jpg,5.543935489,,2,59,3,0.8,0.71,"This is an image of the Golden Gate Bridge on a foggy day, featuring the combination of the bridge with the historic buildings below. It showcases a scene where architectural aesthetics intertwine with natural weather conditions, and it falls under the category of architectural landscape photography.",1,1350,-1,0.522782999
pair_1017,a4422-DSC_0110,3800K,a4422-DSC_0110_3800K.jpg,8.552440363,,1,10,4,0.66,0.51,"This is an image of the Golden Gate Bridge on a foggy day, featuring the combination of the bridge with the historic buildings below. It showcases a scene where architectural aesthetics intertwine with natural weather conditions, and it falls under the category of architectural landscape photography.",-1,1050,1,0.594360938
pair_1017,a4422-DSC_0110,10000K,a4422-DSC_0110_10000K.jpg,10.40807487,,2,78,5,0.64,0.49,"This is an image of the Golden Gate Bridge on a foggy day, featuring the combination of the bridge with the historic buildings below. It showcases a scene where architectural aesthetics intertwine with natural weather conditions, and it falls under the category of architectural landscape photography.",1,5150,-1,0.594360938
pair_1018,a4423-kme_0931,4000K,a4423-kme_0931_4000K.jpg,6.775439574,,1,11,2,0.76,0.66,"This is an image of a village square, featuring a Maypole erected during traditional festive celebrations. It appears particularly tall against the backdrop of a blue sky with white clouds. Part of a steepled church is visible in the background, and the photograph belongs to the category of cultural customs photography.",-1,750,-1,0.594360938
pair_1018,a4423-kme_0931,5600K,a4423-kme_0931_5600K.jpg,8.550794835,,2,57,3,0.9,0.86,"This is an image of a village square, featuring a Maypole erected during traditional festive celebrations. It appears particularly tall against the backdrop of a blue sky with white clouds. Part of a steepled church is visible in the background, and the photograph belongs to the category of cultural customs photography.",1,850,1,0.594360938
pair_1019,a4423-kme_0931,3000K,a4423-kme_0931_3000K.jpg,12.54260387,,1,6,4,0.44,0.2,"This is an image of a village square, featuring a Maypole erected during traditional festive celebrations. It appears particularly tall against the backdrop of a blue sky with white clouds. Part of a steepled church is visible in the background, and the photograph belongs to the category of cultural customs photography.",-1,1750,-1,1
pair_1019,a4423-kme_0931,6400K,a4423-kme_0931_6400K.jpg,16.72496191,,2,61,5,0.74,0.63,"This is an image of a village square, featuring a Maypole erected during traditional festive celebrations. It appears particularly tall against the backdrop of a blue sky with white clouds. Part of a steepled church is visible in the background, and the photograph belongs to the category of cultural customs photography.",1,1650,1,1
pair_102,a0372-WP_CRW_6207,2800K,a0372-WP_CRW_6207_2800K.jpg,16.91733488,,1,5,6,0.58,0.4,"This is an image of a home interior setting, featuring a little girl celebrating her birthday beside a dining table. On the table, there is a small cake with decorative icing and lit candles. The image falls under lifestyle/portrait photography.",-1,1221,0,0.5
pair_102,a0372-WP_CRW_6207,6400K,a0372-WP_CRW_6207_6400K.jpg,11.62925367,,2,64,4,0.7,0.57,"This is an image of a home interior setting, featuring a little girl celebrating her birthday beside a dining table. On the table, there is a small cake with decorative icing and lit candles. The image falls under lifestyle/portrait photography.",1,2379,0,0.5
pair_1020,a4423-kme_0931,2000K,a4423-kme_0931_2000K.jpg,18.55613663,,1,1,6,0.3,0,"This is an image of a village square, featuring a Maypole erected during traditional festive celebrations. It appears particularly tall against the backdrop of a blue sky with white clouds. Part of a steepled church is visible in the background, and the photograph belongs to the category of cultural customs photography.",-1,2750,-1,1
pair_1020,a4423-kme_0931,7400K,a4423-kme_0931_7400K.jpg,24.46485616,,2,66,7,0.6,0.43,"This is an image of a village square, featuring a Maypole erected during traditional festive celebrations. It appears particularly tall against the backdrop of a blue sky with white clouds. Part of a steepled church is visible in the background, and the photograph belongs to the category of cultural customs photography.",1,2650,1,1
pair_1021,a4425-DSC_0007,3800K,a4425-DSC_0007_3800K.jpg,10.12719986,,1,10,3,0.78,0.69,"This is an image of ancient Roman ruins, with the theme of showcasing the magnificent remnants of architecture and historical culture from ancient Rome. The image features preserved ancient buildings and stone columns, set against a background of blue sky and some modern buildings. It belongs to the genre of historical landscape photography.",-1,595,-1,0.522782999
pair_1021,a4425-DSC_0007,5200K,a4425-DSC_0007_5200K.jpg,8.065117877,,2,57,2,0.9,0.86,"This is an image of ancient Roman ruins, with the theme of showcasing the magnificent remnants of architecture and historical culture from ancient Rome. The image features preserved ancient buildings and stone columns, set against a background of blue sky and some modern buildings. It belongs to the genre of historical landscape photography.",1,805,1,0.522782999
pair_1022,a4425-DSC_0007,3600K,a4425-DSC_0007_3600K.jpg,13.98869807,,1,9,4,0.66,0.51,"This is an image of ancient Roman ruins, with the theme of showcasing the magnificent remnants of architecture and historical culture from ancient Rome. The image features preserved ancient buildings and stone columns, set against a background of blue sky and some modern buildings. It belongs to the genre of historical landscape photography.",-1,795,1,1
pair_1022,a4425-DSC_0007,6800K,a4425-DSC_0007_6800K.jpg,16.38854277,,2,65,5,0.66,0.51,"This is an image of ancient Roman ruins, with the theme of showcasing the magnificent remnants of architecture and historical culture from ancient Rome. The image features preserved ancient buildings and stone columns, set against a background of blue sky and some modern buildings. It belongs to the genre of historical landscape photography.",1,2405,-1,1
pair_1023,a4425-DSC_0007,3000K,a4425-DSC_0007_3000K.jpg,22.69952662,,1,6,6,0.42,0.17,"This is an image of ancient Roman ruins, with the theme of showcasing the magnificent remnants of architecture and historical culture from ancient Rome. The image features preserved ancient buildings and stone columns, set against a background of blue sky and some modern buildings. It belongs to the genre of historical landscape photography.",-1,1395,0,0.5
pair_1023,a4425-DSC_0007,10000K,a4425-DSC_0007_10000K.jpg,24.0678077,,2,81,7,0.48,0.26,"This is an image of ancient Roman ruins, with the theme of showcasing the magnificent remnants of architecture and historical culture from ancient Rome. The image features preserved ancient buildings and stone columns, set against a background of blue sky and some modern buildings. It belongs to the genre of historical landscape photography.",1,5605,0,0.5
pair_1024,a4441-_DGW0274,4000K,a4441-_DGW0274_4000K.jpg,8.193300476,,1,11,3,0.8,0.71,"This is an image of an indoor celebration event, with a theme centered around the display or celebration of cultural or traditional attire. The individuals are dressed in vibrant traditional costumes, and the scene is adorned with ribbons and decorations, characteristic of portrait photography.",-1,1050,1,0.522782999
pair_1024,a4441-_DGW0274,6600K,a4441-_DGW0274_6600K.jpg,6.066846861,,2,60,2,0.9,0.86,"This is an image of an indoor celebration event, with a theme centered around the display or celebration of cultural or traditional attire. The individuals are dressed in vibrant traditional costumes, and the scene is adorned with ribbons and decorations, characteristic of portrait photography.",1,1550,-1,0.522782999
pair_1025,a4441-_DGW0274,3400K,a4441-_DGW0274_3400K.jpg,15.51358144,,1,8,5,0.62,0.46,"This is an image of an indoor celebration event, with a theme centered around the display or celebration of cultural or traditional attire. The individuals are dressed in vibrant traditional costumes, and the scene is adorned with ribbons and decorations, characteristic of portrait photography.",-1,1650,1,0.594360938
pair_1025,a4441-_DGW0274,10000K,a4441-_DGW0274_10000K.jpg,11.08623275,,2,77,4,0.68,0.54,"This is an image of an indoor celebration event, with a theme centered around the display or celebration of cultural or traditional attire. The individuals are dressed in vibrant traditional costumes, and the scene is adorned with ribbons and decorations, characteristic of portrait photography.",1,4950,-1,0.594360938
pair_1026,a4444-kme_0626,4000K,a4444-kme_0626_4000K.jpg,6.051668232,,1,11,2,0.9,0.86,"This is an image of an outdoor café or restaurant terrace, with the theme of being ready to welcome customers for an outdoor dining experience. The tables are covered with brown and white tablecloths, set with cutlery, napkins, and glassware. In the center, there is a jar of condiments. This belongs to the genre of food photography.",-1,750,-1,0.522782999
pair_1026,a4444-kme_0626,6200K,a4444-kme_0626_6200K.jpg,6.395491922,,2,60,3,0.8,0.71,"This is an image of an outdoor café or restaurant terrace, with the theme of being ready to welcome customers for an outdoor dining experience. The tables are covered with brown and white tablecloths, set with cutlery, napkins, and glassware. In the center, there is a jar of condiments. This belongs to the genre of food photography.",1,1450,1,0.522782999
pair_1027,a4444-kme_0626,3400K,a4444-kme_0626_3400K.jpg,12.49664068,,1,8,5,0.64,0.49,"This is an image of an outdoor café or restaurant terrace, with the theme of being ready to welcome customers for an outdoor dining experience. The tables are covered with brown and white tablecloths, set with cutlery, napkins, and glassware. In the center, there is a jar of condiments. This belongs to the genre of food photography.",-1,1350,0,0.5
pair_1027,a4444-kme_0626,10000K,a4444-kme_0626_10000K.jpg,12.42021418,,2,79,4,0.66,0.51,"This is an image of an outdoor café or restaurant terrace, with the theme of being ready to welcome customers for an outdoor dining experience. The tables are covered with brown and white tablecloths, set with cutlery, napkins, and glassware. In the center, there is a jar of condiments. This belongs to the genre of food photography.",1,5250,0,0.5
pair_1028,a4445-kme_0333,4000K,a4445-kme_0333_4000K.jpg,9.6761594,,1,11,2,0.84,0.77,"This is an image of a garden environment, featuring blooming pink tulips. Clusters of tulips appear particularly vibrant under the sunlight, exemplifying plant landscape photography.",-1,950,-1,0.522782999
pair_1028,a4445-kme_0333,6600K,a4445-kme_0333_6600K.jpg,10.48936324,,2,61,3,0.84,0.77,"This is an image of a garden environment, featuring blooming pink tulips. Clusters of tulips appear particularly vibrant under the sunlight, exemplifying plant landscape photography.",1,1650,1,0.522782999
pair_1029,a4445-kme_0333,3400K,a4445-kme_0333_3400K.jpg,18.59643726,,1,8,4,0.66,0.51,"This is an image of a garden environment, featuring blooming pink tulips. Clusters of tulips appear particularly vibrant under the sunlight, exemplifying plant landscape photography.",-1,1550,-1,0.594360938
pair_1029,a4445-kme_0333,10000K,a4445-kme_0333_10000K.jpg,19.97264486,,2,78,5,0.66,0.51,"This is an image of a garden environment, featuring blooming pink tulips. Clusters of tulips appear particularly vibrant under the sunlight, exemplifying plant landscape photography.",1,5050,1,0.594360938
pair_103,a0372-WP_CRW_6207,2600K,a0372-WP_CRW_6207_2600K.jpg,21.01817605,,1,4,7,0.46,0.23,"This is an image of a home interior setting, featuring a little girl celebrating her birthday beside a dining table. On the table, there is a small cake with decorative icing and lit candles. The image falls under lifestyle/portrait photography.",-1,1421,1,0.728217778
pair_103,a0372-WP_CRW_6207,10000K,a0372-WP_CRW_6207_10000K.jpg,16.79277054,,2,82,5,0.52,0.31,"This is an image of a home interior setting, featuring a little girl celebrating her birthday beside a dining table. On the table, there is a small cake with decorative icing and lit candles. The image falls under lifestyle/portrait photography.",1,5979,-1,0.728217778
pair_1030,a4462-Duggan_090331_6525,4200K,a4462-Duggan_090331_6525_4200K.jpg,8.556696031,,1,12,3,0.86,0.8,"This is an image of a natural environment. The scene depicts a lush green field, with trees covered in vines at the center. In the distance, there is a forest, and the sky appears slightly overcast. The theme revolves around the vitality of nature. It belongs to the genre of landscape photography.",-1,1300,1,0.594360938
pair_1030,a4462-Duggan_090331_6525,7000K,a4462-Duggan_090331_6525_7000K.jpg,6.458773769,,2,60,2,0.82,0.74,"This is an image of a natural environment. The scene depicts a lush green field, with trees covered in vines at the center. In the distance, there is a forest, and the sky appears slightly overcast. The theme revolves around the vitality of nature. It belongs to the genre of landscape photography.",1,1500,-1,0.594360938
pair_1031,a4462-Duggan_090331_6525,3400K,a4462-Duggan_090331_6525_3400K.jpg,14.62355425,,1,8,5,0.66,0.51,"This is an image of a natural environment. The scene depicts a lush green field, with trees covered in vines at the center. In the distance, there is a forest, and the sky appears slightly overcast. The theme revolves around the vitality of nature. It belongs to the genre of landscape photography.",-1,2100,1,0.594360938
pair_1031,a4462-Duggan_090331_6525,10000K,a4462-Duggan_090331_6525_10000K.jpg,12.57734541,,2,75,4,0.62,0.46,"This is an image of a natural environment. The scene depicts a lush green field, with trees covered in vines at the center. In the distance, there is a forest, and the sky appears slightly overcast. The theme revolves around the vitality of nature. It belongs to the genre of landscape photography.",1,4500,-1,0.594360938
pair_1032,a4469-_DGW0243,3600K,a4469-_DGW0243_3600K.jpg,8.302620292,,1,9,3,0.72,0.6,"This is an image of an indoor scene, capturing a moment of interaction between three people. It appears to be some sort of gathering or social event and falls under portrait photography.",-1,777,-1,0.594360938
pair_1032,a4469-_DGW0243,5200K,a4469-_DGW0243_5200K.jpg,5.683562065,,2,57,2,0.9,0.86,"This is an image of an indoor scene, capturing a moment of interaction between three people. It appears to be some sort of gathering or social event and falls under portrait photography.",1,823,1,0.594360938
pair_1033,a4469-_DGW0243,3200K,a4469-_DGW0243_3200K.jpg,13.22378047,,1,7,5,0.56,0.37,"This is an image of an indoor scene, capturing a moment of interaction between three people. It appears to be some sort of gathering or social event and falls under portrait photography.",-1,1177,-1,0.594360938
pair_1033,a4469-_DGW0243,6600K,a4469-_DGW0243_6600K.jpg,10.86275878,,2,64,4,0.74,0.63,"This is an image of an indoor scene, capturing a moment of interaction between three people. It appears to be some sort of gathering or social event and falls under portrait photography.",1,2223,1,0.594360938
pair_1034,a4469-_DGW0243,2600K,a4469-_DGW0243_2600K.jpg,19.60036411,,1,4,7,0.4,0.14,"This is an image of an indoor scene, capturing a moment of interaction between three people. It appears to be some sort of gathering or social event and falls under portrait photography.",-1,1777,-1,1
pair_1034,a4469-_DGW0243,10000K,a4469-_DGW0243_10000K.jpg,15.73341676,,2,81,6,0.58,0.4,"This is an image of an indoor scene, capturing a moment of interaction between three people. It appears to be some sort of gathering or social event and falls under portrait photography.",1,5623,1,1
pair_1035,a4491-09-05-17-at-20h14m55s-_MG_9251,2600K,a4491-09-05-17-at-20h14m55s-_MG_9251_2600K.jpg,6.826216233,,1,4,2,0.84,0.77,"This is an image of an indoor setting, with a background depicting what appears to be a party or conference scene. The lighting is soft, and there are some people in the background. The focus is on the upper body of a person in the foreground, although their face has been blurred. It falls under the category of portrait photography.",-1,438,1,0.522782999
pair_1035,a4491-09-05-17-at-20h14m55s-_MG_9251,3800K,a4491-09-05-17-at-20h14m55s-_MG_9251_3800K.jpg,7.495935517,,2,56,3,0.84,0.77,"This is an image of an indoor setting, with a background depicting what appears to be a party or conference scene. The lighting is soft, and there are some people in the background. The focus is on the upper body of a person in the foreground, although their face has been blurred. It falls under the category of portrait photography.",1,762,-1,0.522782999
pair_1036,a4491-09-05-17-at-20h14m55s-_MG_9251,2400K,a4491-09-05-17-at-20h14m55s-_MG_9251_2400K.jpg,10.25768512,,1,3,4,0.62,0.46,"This is an image of an indoor setting, with a background depicting what appears to be a party or conference scene. The lighting is soft, and there are some people in the background. The focus is on the upper body of a person in the foreground, although their face has been blurred. It falls under the category of portrait photography.",-1,638,0,0.5
