pair,FileName,Subfolder,ImageName,deltaE2000,Flag,class,level,Score,new_score,normalized_score,Description,Temperature_class,distance,Majority_Label,Confidence
pair_1011,1306_8,10000K,1306_8_10000K.jpg,15.36654579,,2,77,4,0.7,0.57,"This is an image of an outdoor natural environment, featuring a wooden structure and metal panels in the background, with grass covering the greenery. The subject is a person leisurely sitting on a chair, dressed in casual clothing, enjoying a peaceful time outdoors. It belongs to the genre of portrait photography.",1,4950,1,1
pair_1012,1307_0,4200K,1307_0_4200K.jpg,6.41479834,,1,12,2,0.9,0.86,"This is an image of a natural environment with the theme of a warm portrait, categorized under portrait photography.",-1,800,1,0.594360938
pair_1012,1307_0,10000K,1307_0_10000K.jpg,11.33167663,,2,77,3,0.65,0.5,"This is an image of a natural environment with the theme of a warm portrait, categorized under portrait photography.",1,5000,-1,0.594360938
pair_1013,1307_4,3600K,1307_4_3600K.jpg,7.629540782,,1,9,3,0.65,0.5,"This is an image set in an outdoor natural environment, featuring a background of blue sky, white clouds, and some green vegetation. The person is standing amidst nature, holding green plant leaves. The theme is the harmony between humans and nature, and it belongs to portrait photography.",-1,750,-1,0.728217778
pair_1013,1307_4,5400K,1307_4_5400K.jpg,5.950652073,,2,58,2,0.9,0.86,"This is an image set in an outdoor natural environment, featuring a background of blue sky, white clouds, and some green vegetation. The person is standing amidst nature, holding green plant leaves. The theme is the harmony between humans and nature, and it belongs to portrait photography.",1,1050,1,0.728217778
pair_1014,1307_4,3200K,1307_4_3200K.jpg,13.43847494,,1,7,5,0.5,0.29,"This is an image set in an outdoor natural environment, featuring a background of blue sky, white clouds, and some green vegetation. The person is standing amidst nature, holding green plant leaves. The theme is the harmony between humans and nature, and it belongs to portrait photography.",-1,1150,-1,0.728217778
pair_1014,1307_4,7200K,1307_4_7200K.jpg,11.69332401,,2,67,4,0.8,0.71,"This is an image set in an outdoor natural environment, featuring a background of blue sky, white clouds, and some green vegetation. The person is standing amidst nature, holding green plant leaves. The theme is the harmony between humans and nature, and it belongs to portrait photography.",1,2850,1,0.728217778
pair_1015,1307_4,2800K,1307_4_2800K.jpg,20.14108204,,1,5,7,0.4,0.14,"This is an image set in an outdoor natural environment, featuring a background of blue sky, white clouds, and some green vegetation. The person is standing amidst nature, holding green plant leaves. The theme is the harmony between humans and nature, and it belongs to portrait photography.",-1,1550,-1,1
pair_1015,1307_4,10000K,1307_4_10000K.jpg,17.12010889,,2,81,6,0.65,0.5,"This is an image set in an outdoor natural environment, featuring a background of blue sky, white clouds, and some green vegetation. The person is standing amidst nature, holding green plant leaves. The theme is the harmony between humans and nature, and it belongs to portrait photography.",1,5650,1,1
pair_1016,1308_4,3400K,1308_4_3400K.jpg,7.173088091,,1,8,2,0.9,0.86,"This is an image of an indoor setting with the theme of a group of people gathered together in a relaxed atmosphere, possibly enjoying each other's company. The individuals in the scene are dressed in soft-colored clothing, and natural light streams into the room through the windows in the background. The photograph falls under the category of portrait photography.",-1,450,1,0.594360938
pair_1016,1308_4,5200K,1308_4_5200K.jpg,9.439012999,,2,59,3,0.65,0.5,"This is an image of an indoor setting with the theme of a group of people gathered together in a relaxed atmosphere, possibly enjoying each other's company. The individuals in the scene are dressed in soft-colored clothing, and natural light streams into the room through the windows in the background. The photograph falls under the category of portrait photography.",1,1350,-1,0.594360938
pair_1017,1308_4,3000K,1308_4_3000K.jpg,15.52825276,,1,6,4,0.8,0.71,"This is an image of an indoor setting with the theme of a group of people gathered together in a relaxed atmosphere, possibly enjoying each other's company. The individuals in the scene are dressed in soft-colored clothing, and natural light streams into the room through the windows in the background. The photograph falls under the category of portrait photography.",-1,850,1,1
pair_1017,1308_4,10000K,1308_4_10000K.jpg,16.74924854,,2,83,5,0.55,0.36,"This is an image of an indoor setting with the theme of a group of people gathered together in a relaxed atmosphere, possibly enjoying each other's company. The individuals in the scene are dressed in soft-colored clothing, and natural light streams into the room through the windows in the background. The photograph falls under the category of portrait photography.",1,6150,-1,1
pair_1018,1309_2,4200K,1309_2_4200K.jpg,8.266343616,,1,12,3,0.8,0.71,"This is an image with a countryside background, featuring a wedding portrait of a newlywed couple. They are standing in front of a wooden fence, with blurry mountains and houses visible in the distance. The photo belongs to the genre of portrait photography.",-1,900,1,0.522782999
pair_1018,1309_2,6600K,1309_2_6600K.jpg,7.948313449,,2,60,2,0.9,0.86,"This is an image with a countryside background, featuring a wedding portrait of a newlywed couple. They are standing in front of a wooden fence, with blurry mountains and houses visible in the distance. The photo belongs to the genre of portrait photography.",1,1500,-1,0.522782999
pair_1019,1309_2,3800K,1309_2_3800K.jpg,12.69983719,,1,10,4,0.65,0.5,"This is an image with a countryside background, featuring a wedding portrait of a newlywed couple. They are standing in front of a wooden fence, with blurry mountains and houses visible in the distance. The photo belongs to the genre of portrait photography.",-1,1300,-1,0.522782999
pair_1019,1309_2,10000K,1309_2_10000K.jpg,14.79374896,,2,77,5,0.65,0.5,"This is an image with a countryside background, featuring a wedding portrait of a newlywed couple. They are standing in front of a wooden fence, with blurry mountains and houses visible in the distance. The photo belongs to the genre of portrait photography.",1,4900,1,0.522782999
pair_102,1024_0,4600K,1024_0_4600K.jpg,5.885720584,,1,14,3,0.75,0.64,"This is an image of a beach, featuring two people enjoying a relaxing moment by the seaside. They are standing in shallow water, holding hands. The background shows a vast ocean and islands in the distance. It belongs to the category of lifestyle photography.",-1,1200,-1,0.728217778
pair_102,1024_0,7400K,1024_0_7400K.jpg,4.784428735,,2,60,2,0.9,0.86,"This is an image of a beach, featuring two people enjoying a relaxing moment by the seaside. They are standing in shallow water, holding hands. The background shows a vast ocean and islands in the distance. It belongs to the category of lifestyle photography.",1,1600,1,0.728217778
pair_1020,130_7,4400K,130_7_4400K.jpg,5.122430884,,1,13,2,0.8,0.71,"This is an image of a classical courtyard, featuring a figure in a red long dress, belonging to the category of portrait photography.",-1,650,0,0.5
pair_1020,130_7,6000K,130_7_6000K.jpg,5.986069222,,2,57,3,0.85,0.79,"This is an image of a classical courtyard, featuring a figure in a red long dress, belonging to the category of portrait photography.",1,950,0,0.5
pair_1021,130_7,3800K,130_7_3800K.jpg,10.36832745,,1,10,4,0.6,0.43,"This is an image of a classical courtyard, featuring a figure in a red long dress, belonging to the category of portrait photography.",-1,1250,-1,0.522782999
pair_1021,130_7,7400K,130_7_7400K.jpg,11.43150834,,2,64,5,0.7,0.57,"This is an image of a classical courtyard, featuring a figure in a red long dress, belonging to the category of portrait photography.",1,2350,1,0.522782999
pair_1022,130_7,3200K,130_7_3200K.jpg,15.72106844,,1,7,6,0.4,0.14,"This is an image of a classical courtyard, featuring a figure in a red long dress, belonging to the category of portrait photography.",-1,1850,-1,0.728217778
pair_1022,130_7,10000K,130_7_10000K.jpg,16.06019474,,2,77,7,0.55,0.36,"This is an image of a classical courtyard, featuring a figure in a red long dress, belonging to the category of portrait photography.",1,4950,1,0.728217778
pair_1023,1310_3,4000K,1310_3_4000K.jpg,6.913937565,,1,11,2,0.9,0.86,"This is an image taken in front of an outdoor classical building, with the theme centered on the intimate interaction of a couple. One person is dressed in a black suit, while the other is wearing a red gown. It belongs to the genre of portrait photography.",-1,600,1,0.594360938
pair_1023,1310_3,6000K,1310_3_6000K.jpg,7.36617783,,2,59,3,0.8,0.71,"This is an image taken in front of an outdoor classical building, with the theme centered on the intimate interaction of a couple. One person is dressed in a black suit, while the other is wearing a red gown. It belongs to the genre of portrait photography.",1,1400,-1,0.594360938
pair_1024,1310_3,3400K,1310_3_3400K.jpg,15.37948165,,1,8,5,0.65,0.5,"This is an image taken in front of an outdoor classical building, with the theme centered on the intimate interaction of a couple. One person is dressed in a black suit, while the other is wearing a red gown. It belongs to the genre of portrait photography.",-1,1200,1,0.522782999
pair_1024,1310_3,10000K,1310_3_10000K.jpg,13.35675737,,2,79,4,0.65,0.5,"This is an image taken in front of an outdoor classical building, with the theme centered on the intimate interaction of a couple. One person is dressed in a black suit, while the other is wearing a red gown. It belongs to the genre of portrait photography.",1,5400,-1,0.522782999
pair_1025,1311_3,3400K,1311_3_3400K.jpg,6.432946278,,1,8,2,0.8,0.71,"This is an image of natural scenery by the lakeside, featuring a wedding photo of a couple dressed in formal attire. They are posing in front of a pile of rocks by the lake. The background showcases the lake under a blue sky and distant mountains. This image falls under the category of portrait photography.",-1,1200,-1,1
pair_1025,1311_3,6800K,1311_3_6800K.jpg,7.060143125,,2,63,3,0.85,0.79,"This is an image of natural scenery by the lakeside, featuring a wedding photo of a couple dressed in formal attire. They are posing in front of a pile of rocks by the lake. The background showcases the lake under a blue sky and distant mountains. This image falls under the category of portrait photography.",1,2200,1,1
pair_1026,1311_3,2800K,1311_3_2800K.jpg,14.24748378,,1,5,5,0.6,0.43,"This is an image of natural scenery by the lakeside, featuring a wedding photo of a couple dressed in formal attire. They are posing in front of a pile of rocks by the lake. The background showcases the lake under a blue sky and distant mountains. This image falls under the category of portrait photography.",-1,1800,-1,1
pair_1026,1311_3,10000K,1311_3_10000K.jpg,12.94997082,,2,79,4,0.75,0.64,"This is an image of natural scenery by the lakeside, featuring a wedding photo of a couple dressed in formal attire. They are posing in front of a pile of rocks by the lake. The background showcases the lake under a blue sky and distant mountains. This image falls under the category of portrait photography.",1,5400,1,1
pair_1027,1312_3,3800K,1312_3_3800K.jpg,8.662703753,,1,10,3,0.8,0.71,"This is an image of a forest environment, featuring a person draped in a cozy shawl and holding a warm drink, enjoying a tranquil moment in nature. It falls under the category of portrait photography.",-1,900,1,0.594360938
pair_1027,1312_3,6200K,1312_3_6200K.jpg,7.995596473,,2,60,2,0.85,0.79,"This is an image of a forest environment, featuring a person draped in a cozy shawl and holding a warm drink, enjoying a tranquil moment in nature. It falls under the category of portrait photography.",1,1500,-1,0.594360938
pair_1028,1312_3,3200K,1312_3_3200K.jpg,17.03063494,,1,7,5,0.65,0.5,"This is an image of a forest environment, featuring a person draped in a cozy shawl and holding a warm drink, enjoying a tranquil moment in nature. It falls under the category of portrait photography.",-1,1500,0,0.5
pair_1028,1312_3,10000K,1312_3_10000K.jpg,15.22367588,,2,79,4,0.7,0.57,"This is an image of a forest environment, featuring a person draped in a cozy shawl and holding a warm drink, enjoying a tranquil moment in nature. It falls under the category of portrait photography.",1,5300,0,0.5
pair_1029,1314_1,4200K,1314_1_4200K.jpg,8.541863144,,1,12,2,0.9,0.86,"This is an image taken in front of a railing by the seaside, featuring a model in formal attire during an outdoor photoshoot. The focus is on showcasing the outfit and the model's graceful posture, categorized as portrait photography.",-1,550,1,0.594360938
pair_1029,1314_1,5800K,1314_1_5800K.jpg,10.07725835,,2,58,3,0.75,0.64,"This is an image taken in front of a railing by the seaside, featuring a model in formal attire during an outdoor photoshoot. The focus is on showcasing the outfit and the model's graceful posture, categorized as portrait photography.",1,1050,-1,0.594360938
pair_103,1024_0,3800K,1024_0_3800K.jpg,11.7164279,,1,10,5,0.6,0.43,"This is an image of a beach, featuring two people enjoying a relaxing moment by the seaside. They are standing in shallow water, holding hands. The background shows a vast ocean and islands in the distance. It belongs to the category of lifestyle photography.",-1,2000,-1,1
pair_103,1024_0,10000K,1024_0_10000K.jpg,8.703204585,,2,73,4,0.75,0.64,"This is an image of a beach, featuring two people enjoying a relaxing moment by the seaside. They are standing in shallow water, holding hands. The background shows a vast ocean and islands in the distance. It belongs to the category of lifestyle photography.",1,4200,1,1
pair_1030,1314_1,3800K,1314_1_3800K.jpg,15.17047869,,1,10,4,0.75,0.64,"This is an image taken in front of a railing by the seaside, featuring a model in formal attire during an outdoor photoshoot. The focus is on showcasing the outfit and the model's graceful posture, categorized as portrait photography.",-1,950,1,0.728217778
pair_1030,1314_1,10000K,1314_1_10000K.jpg,18.83078642,,2,79,5,0.6,0.43,"This is an image taken in front of a railing by the seaside, featuring a model in formal attire during an outdoor photoshoot. The focus is on showcasing the outfit and the model's graceful posture, categorized as portrait photography.",1,5250,-1,0.728217778
pair_1031,1314_2,4000K,1314_2_4000K.jpg,12.24953691,,1,11,3,0.85,0.79,"This is an image of a seaside terrace, featuring a man in a white suit standing in front of the railing, facing the sea. It conveys a sense of relaxation and ease and belongs to the genre of portrait photography.",-1,750,0,0.5
pair_1031,1314_2,5400K,1314_2_5400K.jpg,8.520366825,,2,56,2,0.85,0.79,"This is an image of a seaside terrace, featuring a man in a white suit standing in front of the railing, facing the sea. It conveys a sense of relaxation and ease and belongs to the genre of portrait photography.",1,650,0,0.5
pair_1032,1314_2,3600K,1314_2_3600K.jpg,18.43667065,,1,9,5,0.6,0.43,"This is an image of a seaside terrace, featuring a man in a white suit standing in front of the railing, facing the sea. It conveys a sense of relaxation and ease and belongs to the genre of portrait photography.",-1,1150,-1,0.522782999
pair_1032,1314_2,6400K,1314_2_6400K.jpg,14.15163129,,2,61,4,0.7,0.57,"This is an image of a seaside terrace, featuring a man in a white suit standing in front of the railing, facing the sea. It conveys a sense of relaxation and ease and belongs to the genre of portrait photography.",1,1650,1,0.522782999
pair_1033,1314_2,3000K,1314_2_3000K.jpg,26.14476814,,1,6,7,0.4,0.14,"This is an image of a seaside terrace, featuring a man in a white suit standing in front of the railing, facing the sea. It conveys a sense of relaxation and ease and belongs to the genre of portrait photography.",-1,1750,-1,1
pair_1033,1314_2,10000K,1314_2_10000K.jpg,20.68407811,,2,79,6,0.5,0.29,"This is an image of a seaside terrace, featuring a man in a white suit standing in front of the railing, facing the sea. It conveys a sense of relaxation and ease and belongs to the genre of portrait photography.",1,5250,1,1
pair_1034,1315_5,5000K,1315_5_5000K.jpg,2.90665911,,1,16,2,0.85,0.79,"This is an image taken from a high vantage point in the city, featuring a couple intimately interacting under the sunset. In the background is a blurred city skyline in the distance. The photo falls under the category of portrait photography.",-1,1000,-1,0.594360938
pair_1034,1315_5,10000K,1315_5_10000K.jpg,4.516163674,,2,72,3,0.85,0.79,"This is an image taken from a high vantage point in the city, featuring a couple intimately interacting under the sunset. In the background is a blurred city skyline in the distance. The photo falls under the category of portrait photography.",1,4000,1,0.594360938
pair_1035,1316_1,4000K,1316_1_4000K.jpg,7.355733558,,1,11,3,0.8,0.71,"This is an image of an indoor studio backdrop, featuring a woman in sequin attire posing in a side profile. It belongs to the genre of portrait photography.",-1,950,-1,0.522782999
pair_1035,1316_1,6600K,1316_1_6600K.jpg,6.239696399,,2,61,2,0.9,0.86,"This is an image of an indoor studio backdrop, featuring a woman in sequin attire posing in a side profile. It belongs to the genre of portrait photography.",1,1650,1,0.522782999
pair_1036,1316_1,3600K,1316_1_3600K.jpg,11.55128176,,1,9,4,0.7,0.57,"This is an image of an indoor studio backdrop, featuring a woman in sequin attire posing in a side profile. It belongs to the genre of portrait photography.",-1,1350,-1,0.522782999
pair_1036,1316_1,10000K,1316_1_10000K.jpg,12.30612851,,2,78,5,0.6,0.43,"This is an image of an indoor studio backdrop, featuring a woman in sequin attire posing in a side profile. It belongs to the genre of portrait photography.",1,5050,1,0.522782999
pair_1037,1317_2,4200K,1317_2_4200K.jpg,6.280506218,,1,12,3,0.75,0.64,"This is an image set against an outdoor forest background, with the theme of two people sharing a tender interaction in cold weather. One person is adjusting the other's hat and scarf, showcasing an intimate and warm emotional connection. This belongs to the category of portrait photography.",-1,850,0,0.5
pair_1037,1317_2,6200K,1317_2_6200K.jpg,6.184842683,,2,58,2,0.9,0.86,"This is an image set against an outdoor forest background, with the theme of two people sharing a tender interaction in cold weather. One person is adjusting the other's hat and scarf, showcasing an intimate and warm emotional connection. This belongs to the category of portrait photography.",1,1150,0,0.5
pair_1038,1317_2,3600K,1317_2_3600K.jpg,11.32608512,,1,9,4,0.6,0.43,"This is an image set against an outdoor forest background, with the theme of two people sharing a tender interaction in cold weather. One person is adjusting the other's hat and scarf, showcasing an intimate and warm emotional connection. This belongs to the category of portrait photography.",-1,1450,-1,0.728217778
pair_1038,1317_2,7600K,1317_2_7600K.jpg,11.63914823,,2,65,5,0.7,0.57,"This is an image set against an outdoor forest background, with the theme of two people sharing a tender interaction in cold weather. One person is adjusting the other's hat and scarf, showcasing an intimate and warm emotional connection. This belongs to the category of portrait photography.",1,2550,1,0.728217778
pair_1039,1317_2,2600K,1317_2_2600K.jpg,17.77837186,,1,4,7,0.4,0.14,"This is an image set against an outdoor forest background, with the theme of two people sharing a tender interaction in cold weather. One person is adjusting the other's hat and scarf, showcasing an intimate and warm emotional connection. This belongs to the category of portrait photography.",-1,2450,-1,1
pair_1039,1317_2,10000K,1317_2_10000K.jpg,16.49267373,,2,77,6,0.55,0.36,"This is an image set against an outdoor forest background, with the theme of two people sharing a tender interaction in cold weather. One person is adjusting the other's hat and scarf, showcasing an intimate and warm emotional connection. This belongs to the category of portrait photography.",1,4950,1,1
pair_104,1024_2,4800K,1024_2_4800K.jpg,5.071890589,,1,15,2,0.8,0.71,"This is an image of a beach, featuring two people frolicking and chasing each other by the seaside, enjoying the pleasures of the sun and sea. It falls under the category of portrait photography.",-1,1000,-1,0.594360938
pair_104,1024_2,7400K,1024_2_7400K.jpg,5.231590138,,2,60,3,0.85,0.79,"This is an image of a beach, featuring two people frolicking and chasing each other by the seaside, enjoying the pleasures of the sun and sea. It falls under the category of portrait photography.",1,1600,1,0.594360938
pair_1040,1318_0,4200K,1318_0_4200K.jpg,6.27734608,,1,12,3,0.85,0.79,"This is an image of a mountain forest landscape, featuring a couple holding their wedding or taking wedding photos outdoors on a sunny day. They are walking hand in hand on the mountaintop, surrounded by rolling green trees and distant mountains, and it belongs to wedding photography.",-1,800,1,0.522782999
pair_1040,1318_0,6400K,1318_0_6400K.jpg,6.191971636,,2,59,2,0.85,0.79,"This is an image of a mountain forest landscape, featuring a couple holding their wedding or taking wedding photos outdoors on a sunny day. They are walking hand in hand on the mountaintop, surrounded by rolling green trees and distant mountains, and it belongs to wedding photography.",1,1400,-1,0.522782999
pair_1041,1318_0,3600K,1318_0_3600K.jpg,12.53052706,,1,9,5,0.7,0.57,"This is an image of a mountain forest landscape, featuring a couple holding their wedding or taking wedding photos outdoors on a sunny day. They are walking hand in hand on the mountaintop, surrounded by rolling green trees and distant mountains, and it belongs to wedding photography.",-1,1400,1,0.728217778
pair_1041,1318_0,10000K,1318_0_10000K.jpg,11.52975943,,2,77,4,0.5,0.29,"This is an image of a mountain forest landscape, featuring a couple holding their wedding or taking wedding photos outdoors on a sunny day. They are walking hand in hand on the mountaintop, surrounded by rolling green trees and distant mountains, and it belongs to wedding photography.",1,5000,-1,0.728217778
