pair,FileName,Subfolder,ImageName,deltaE2000,Description,Majority_Label,Confidence
pair_1002,a1058-_I2E8070,5400K,a1058-_I2E8070_5400K.jpg,8.440354978,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",-1,1
pair_1003,a1058-_I2E8070,2800K,a1058-_I2E8070_2800K.jpg,16.96401748,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",1,1
pair_1003,a1058-_I2E8070,10000K,a1058-_I2E8070_10000K.jpg,15.232988,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",-1,1
pair_1004,a1058-_I2E8070,3850K,a1058-_I2E8070_gt.jpg,0,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",1,1
pair_1004,a1058-_I2E8070,5400K,a1058-_I2E8070_5400K.jpg,8.440354978,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",-1,1
pair_1005,a1058-_I2E8070,3850K,a1058-_I2E8070_gt.jpg,0,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",1,1
pair_1005,a1058-_I2E8070,3200K,a1058-_I2E8070_3200K.jpg,8.543616727,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",-1,1
pair_1006,a1058-_I2E8070,3850K,a1058-_I2E8070_gt.jpg,0,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",1,1
pair_1006,a1058-_I2E8070,10000K,a1058-_I2E8070_10000K.jpg,15.232988,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",-1,1
pair_1007,a1058-_I2E8070,3850K,a1058-_I2E8070_gt.jpg,0,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",1,1
pair_1007,a1058-_I2E8070,2800K,a1058-_I2E8070_2800K.jpg,16.96401748,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",-1,1
pair_1008,a1058-_I2E8070,3850K,a1058-_I2E8070_gt.jpg,0,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",1,1
pair_1008,a1058-_I2E8070,2600K,a1058-_I2E8070_2600K.jpg,21.96754753,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",-1,1
pair_1009,a1058-_I2E8070,3850K,a1058-_I2E8070_gt.jpg,0,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",1,1
pair_1009,a1058-_I2E8070,2200K,a1058-_I2E8070_2200K.jpg,33.57658732,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",-1,1
pair_101,a0057-kme_406,5000K,a0057-kme_406_gt.jpg,0,"This is an image of an outdoor display or performance setting, with a background of modern architecture and plants. The main subject is a bird (possibly an eagle or falcon) perched on a person's glove, showcasing the interaction between humans and animals. It belongs to the category of animal photography.",1,1
pair_101,a0057-kme_406,3600K,a0057-kme_406_3600K.jpg,13.08131725,"This is an image of an outdoor display or performance setting, with a background of modern architecture and plants. The main subject is a bird (possibly an eagle or falcon) perched on a person's glove, showcasing the interaction between humans and animals. It belongs to the category of animal photography.",-1,1
pair_1010,a1058-_I2E8070,3850K,a1058-_I2E8070_gt.jpg,0,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",1,1
pair_1010,a1058-_I2E8070,2000K,a1058-_I2E8070_2000K.jpg,39.26107008,"This is an image of a natural environment, featuring a bird with fluffy white feathers and a black beak, which appears to be a hornbill. It is perched on a branch, gazing into the distance. The background is blurred, showing branches and a greenish backdrop, and belongs to the category of animal photography.",-1,1
pair_1011,a1066-IMG_4517,4000K,a1066-IMG_4517_4000K.jpg,7.443973663,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",0,0.5
pair_1011,a1066-IMG_4517,6200K,a1066-IMG_4517_6200K.jpg,8.95140595,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",0,0.5
pair_1012,a1066-IMG_4517,3600K,a1066-IMG_4517_3600K.jpg,12.57201431,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",1,0.522782999
pair_1012,a1066-IMG_4517,10000K,a1066-IMG_4517_10000K.jpg,16.11591791,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",-1,0.522782999
pair_1013,a1066-IMG_4517,4700K,a1066-IMG_4517_gt.jpg,0,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",1,1
pair_1013,a1066-IMG_4517,4000K,a1066-IMG_4517_4000K.jpg,7.443973663,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",-1,1
pair_1014,a1066-IMG_4517,4700K,a1066-IMG_4517_gt.jpg,0,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",1,1
pair_1014,a1066-IMG_4517,6200K,a1066-IMG_4517_6200K.jpg,8.95140595,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",-1,1
pair_1015,a1066-IMG_4517,4700K,a1066-IMG_4517_gt.jpg,0,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",1,1
pair_1015,a1066-IMG_4517,3600K,a1066-IMG_4517_3600K.jpg,12.57201431,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",-1,1
pair_1016,a1066-IMG_4517,4700K,a1066-IMG_4517_gt.jpg,0,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",1,1
pair_1016,a1066-IMG_4517,10000K,a1066-IMG_4517_10000K.jpg,16.11591791,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",-1,1
pair_1017,a1066-IMG_4517,4700K,a1066-IMG_4517_gt.jpg,0,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",1,1
pair_1017,a1066-IMG_4517,3000K,a1066-IMG_4517_3000K.jpg,20.44341703,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",-1,1
pair_1018,a1066-IMG_4517,4700K,a1066-IMG_4517_gt.jpg,0,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",1,1
pair_1018,a1066-IMG_4517,2600K,a1066-IMG_4517_2600K.jpg,25.4536571,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",-1,1
pair_1019,a1066-IMG_4517,4700K,a1066-IMG_4517_gt.jpg,0,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",1,1
pair_1019,a1066-IMG_4517,2000K,a1066-IMG_4517_2000K.jpg,31.2426905,"This is an image of an outdoor park or urban green space, featuring a person relaxing in a sunny environment, categorized as portrait photography.",-1,1
pair_102,a0057-kme_406,5000K,a0057-kme_406_gt.jpg,0,"This is an image of an outdoor display or performance setting, with a background of modern architecture and plants. The main subject is a bird (possibly an eagle or falcon) perched on a person's glove, showcasing the interaction between humans and animals. It belongs to the category of animal photography.",1,1
pair_102,a0057-kme_406,10000K,a0057-kme_406_10000K.jpg,17.73393679,"This is an image of an outdoor display or performance setting, with a background of modern architecture and plants. The main subject is a bird (possibly an eagle or falcon) perched on a person's glove, showcasing the interaction between humans and animals. It belongs to the category of animal photography.",-1,1
pair_1020,a1070-_MG_6547,4000K,a1070-_MG_6547_4000K.jpg,6.643651106,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",1,0.522782999
pair_1020,a1070-_MG_6547,6200K,a1070-_MG_6547_6200K.jpg,7.588532358,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",-1,0.522782999
pair_1021,a1070-_MG_6547,3400K,a1070-_MG_6547_3400K.jpg,13.25478086,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",1,0.594360938
pair_1021,a1070-_MG_6547,10000K,a1070-_MG_6547_10000K.jpg,14.20578317,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",-1,0.594360938
pair_1022,a1070-_MG_6547,4760K,a1070-_MG_6547_gt.jpg,0,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",1,1
pair_1022,a1070-_MG_6547,4000K,a1070-_MG_6547_4000K.jpg,6.643651106,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",-1,1
pair_1023,a1070-_MG_6547,4760K,a1070-_MG_6547_gt.jpg,0,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",1,1
pair_1023,a1070-_MG_6547,6200K,a1070-_MG_6547_6200K.jpg,7.588532358,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",-1,1
pair_1024,a1070-_MG_6547,4760K,a1070-_MG_6547_gt.jpg,0,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",1,1
pair_1024,a1070-_MG_6547,3400K,a1070-_MG_6547_3400K.jpg,13.25478086,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",-1,1
pair_1025,a1070-_MG_6547,4760K,a1070-_MG_6547_gt.jpg,0,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",1,1
pair_1025,a1070-_MG_6547,10000K,a1070-_MG_6547_10000K.jpg,14.20578317,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",-1,1
pair_1026,a1070-_MG_6547,4760K,a1070-_MG_6547_gt.jpg,0,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",1,1
pair_1026,a1070-_MG_6547,2800K,a1070-_MG_6547_2800K.jpg,20.93319164,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",-1,1
pair_1027,a1070-_MG_6547,4760K,a1070-_MG_6547_gt.jpg,0,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",1,1
pair_1027,a1070-_MG_6547,2400K,a1070-_MG_6547_2400K.jpg,27.0352637,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",-1,1
pair_1028,a1070-_MG_6547,4760K,a1070-_MG_6547_gt.jpg,0,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",1,1
pair_1028,a1070-_MG_6547,2000K,a1070-_MG_6547_2000K.jpg,32.68672955,"This is an image of a natural landscape with the theme of interaction between humans and nature. The scene features a waterfall in a forest surrounded by lush vegetation. Water flows down from the rocks, and a person is taking a photo in front of the waterfall. It belongs to the category of landscape photography.",-1,1
pair_1029,a1075-IMG_9189,3800K,a1075-IMG_9189_3800K.jpg,5.993046152,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",0,0.5
pair_1029,a1075-IMG_9189,5600K,a1075-IMG_9189_5600K.jpg,7.193514262,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",0,0.5
pair_103,a0057-kme_406,5000K,a0057-kme_406_gt.jpg,0,"This is an image of an outdoor display or performance setting, with a background of modern architecture and plants. The main subject is a bird (possibly an eagle or falcon) perched on a person's glove, showcasing the interaction between humans and animals. It belongs to the category of animal photography.",1,1
pair_103,a0057-kme_406,3000K,a0057-kme_406_3000K.jpg,18.53090117,"This is an image of an outdoor display or performance setting, with a background of modern architecture and plants. The main subject is a bird (possibly an eagle or falcon) perched on a person's glove, showcasing the interaction between humans and animals. It belongs to the category of animal photography.",-1,1
pair_1030,a1075-IMG_9189,3000K,a1075-IMG_9189_3000K.jpg,12.24801203,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",-1,0.594360938
pair_1030,a1075-IMG_9189,7000K,a1075-IMG_9189_7000K.jpg,13.36459726,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",1,0.594360938
pair_1031,a1075-IMG_9189,2600K,a1075-IMG_9189_2600K.jpg,15.6932878,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",-1,0.522782999
pair_1031,a1075-IMG_9189,10000K,a1075-IMG_9189_10000K.jpg,19.39081676,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",1,0.522782999
pair_1032,a1075-IMG_9189,4553K,a1075-IMG_9189_gt.jpg,0,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",1,1
pair_1032,a1075-IMG_9189,3800K,a1075-IMG_9189_3800K.jpg,5.993046152,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",-1,1
pair_1033,a1075-IMG_9189,4553K,a1075-IMG_9189_gt.jpg,0,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",1,1
pair_1033,a1075-IMG_9189,5600K,a1075-IMG_9189_5600K.jpg,7.193514262,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",-1,1
pair_1034,a1075-IMG_9189,4553K,a1075-IMG_9189_gt.jpg,0,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",1,1
pair_1034,a1075-IMG_9189,3000K,a1075-IMG_9189_3000K.jpg,12.24801203,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",-1,1
pair_1035,a1075-IMG_9189,4553K,a1075-IMG_9189_gt.jpg,0,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",1,1
pair_1035,a1075-IMG_9189,7000K,a1075-IMG_9189_7000K.jpg,13.36459726,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",-1,1
pair_1036,a1075-IMG_9189,4553K,a1075-IMG_9189_gt.jpg,0,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",1,1
pair_1036,a1075-IMG_9189,2600K,a1075-IMG_9189_2600K.jpg,15.6932878,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",-1,1
pair_1037,a1075-IMG_9189,4553K,a1075-IMG_9189_gt.jpg,0,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",1,1
pair_1037,a1075-IMG_9189,10000K,a1075-IMG_9189_10000K.jpg,19.39081676,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",-1,1
pair_1038,a1075-IMG_9189,4553K,a1075-IMG_9189_gt.jpg,0,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",1,1
pair_1038,a1075-IMG_9189,2000K,a1075-IMG_9189_2000K.jpg,21.70748047,"This is an image of an urban neighborhood in the evening, showcasing distant restaurants and storefront buildings. Power lines stretch across the sky, which displays a gradient of colors. The theme captures a tranquil moment of urban nightlife. It belongs to the genre of cityscape photography.",-1,1
pair_1039,a1078-_DSC0042,4000K,a1078-_DSC0042_4000K.jpg,6.317789862,"This is an image of a zoo exhibit, featuring several penguins leisurely strolling in an artificially arranged habitat. The surroundings include vegetation and rocks that mimic a natural environment, and the image falls under the category of animal photography.",1,0.522782999
pair_1039,a1078-_DSC0042,5600K,a1078-_DSC0042_5600K.jpg,8.897687724,"This is an image of a zoo exhibit, featuring several penguins leisurely strolling in an artificially arranged habitat. The surroundings include vegetation and rocks that mimic a natural environment, and the image falls under the category of animal photography.",-1,0.522782999
pair_104,a0057-kme_406,5000K,a0057-kme_406_gt.jpg,0,"This is an image of an outdoor display or performance setting, with a background of modern architecture and plants. The main subject is a bird (possibly an eagle or falcon) perched on a person's glove, showcasing the interaction between humans and animals. It belongs to the category of animal photography.",1,1
pair_104,a0057-kme_406,2000K,a0057-kme_406_2000K.jpg,24.92555383,"This is an image of an outdoor display or performance setting, with a background of modern architecture and plants. The main subject is a bird (possibly an eagle or falcon) perched on a person's glove, showcasing the interaction between humans and animals. It belongs to the category of animal photography.",-1,1
pair_1040,a1078-_DSC0042,3600K,a1078-_DSC0042_3600K.jpg,12.87445441,"This is an image of a zoo exhibit, featuring several penguins leisurely strolling in an artificially arranged habitat. The surroundings include vegetation and rocks that mimic a natural environment, and the image falls under the category of animal photography.",1,0.728217778
pair_1040,a1078-_DSC0042,10000K,a1078-_DSC0042_10000K.jpg,16.81759933,"This is an image of a zoo exhibit, featuring several penguins leisurely strolling in an artificially arranged habitat. The surroundings include vegetation and rocks that mimic a natural environment, and the image falls under the category of animal photography.",-1,0.728217778
pair_1041,a1078-_DSC0042,4447K,a1078-_DSC0042_gt.jpg,0,"This is an image of a zoo exhibit, featuring several penguins leisurely strolling in an artificially arranged habitat. The surroundings include vegetation and rocks that mimic a natural environment, and the image falls under the category of animal photography.",1,1
pair_1041,a1078-_DSC0042,4000K,a1078-_DSC0042_4000K.jpg,6.317789862,"This is an image of a zoo exhibit, featuring several penguins leisurely strolling in an artificially arranged habitat. The surroundings include vegetation and rocks that mimic a natural environment, and the image falls under the category of animal photography.",-1,1
pair_1042,a1078-_DSC0042,4447K,a1078-_DSC0042_gt.jpg,0,"This is an image of a zoo exhibit, featuring several penguins leisurely strolling in an artificially arranged habitat. The surroundings include vegetation and rocks that mimic a natural environment, and the image falls under the category of animal photography.",1,1
pair_1042,a1078-_DSC0042,5600K,a1078-_DSC0042_5600K.jpg,8.897687724,"This is an image of a zoo exhibit, featuring several penguins leisurely strolling in an artificially arranged habitat. The surroundings include vegetation and rocks that mimic a natural environment, and the image falls under the category of animal photography.",-1,1
pair_1043,a1078-_DSC0042,4447K,a1078-_DSC0042_gt.jpg,0,"This is an image of a zoo exhibit, featuring several penguins leisurely strolling in an artificially arranged habitat. The surroundings include vegetation and rocks that mimic a natural environment, and the image falls under the category of animal photography.",1,1
pair_1043,a1078-_DSC0042,3600K,a1078-_DSC0042_3600K.jpg,12.87445441,"This is an image of a zoo exhibit, featuring several penguins leisurely strolling in an artificially arranged habitat. The surroundings include vegetation and rocks that mimic a natural environment, and the image falls under the category of animal photography.",-1,1
pair_1044,a1078-_DSC0042,4447K,a1078-_DSC0042_gt.jpg,0,"This is an image of a zoo exhibit, featuring several penguins leisurely strolling in an artificially arranged habitat. The surroundings include vegetation and rocks that mimic a natural environment, and the image falls under the category of animal photography.",1,1
pair_1044,a1078-_DSC0042,10000K,a1078-_DSC0042_10000K.jpg,16.81759933,"This is an image of a zoo exhibit, featuring several penguins leisurely strolling in an artificially arranged habitat. The surroundings include vegetation and rocks that mimic a natural environment, and the image falls under the category of animal photography.",-1,1
pair_1045,a1078-_DSC0042,4447K,a1078-_DSC0042_gt.jpg,0,"This is an image of a zoo exhibit, featuring several penguins leisurely strolling in an artificially arranged habitat. The surroundings include vegetation and rocks that mimic a natural environment, and the image falls under the category of animal photography.",1,1
